Name,Symbol,Market Cap,Date,Rank
GXCGXChain,GXC,"$211,705,929.28",2017-12-31,99
LINKChainlink,LINK,"$210,543,265.94",2017-12-31,100
DENTDent,DENT,"$208,547,184.28",2017-12-31,101
PHXRed Pulse Phoenix,PHX,"$207,222,311.23",2017-12-31,102
POEPo.et,POE,"$205,364,524.27",2017-12-31,103
NAVNavCoin,NAV,"$200,156,349.78",2017-12-31,104
MCOMCO,MCO,"$199,891,061.77",2017-12-31,105
NASNebulas,NAS,"$199,158,508.78",2017-12-31,106
ENGEnigma,ENG,"$195,542,947.78",2017-12-31,107
ZCLZClassic,ZCL,"$193,984,223.23",2017-12-31,108
DCNDentacoin,DCN,"$190,575,561.52",2017-12-31,109
RCNRipio Credit Network,RCN,"$186,221,150.65",2017-12-31,110
EDGEdgeless,EDG,"$184,443,862.22",2017-12-31,111
BAYBitBay,BAY,"$178,614,133.62",2017-12-31,112
LENDAave,LEND,"$177,191,744.55",2017-12-31,113
ZENHorizen,ZEN,"$173,373,619.49",2017-12-31,114
NXSNexus,NXS,"$170,586,325.95",2017-12-31,115
EMC2Einsteinium,EMC2,"$169,002,245.26",2017-12-31,116
ADXAdEx,ADX,"$168,054,846.02",2017-12-31,117
PARTParticl,PART,"$165,336,668.85",2017-12-31,118
UTKUtrust,UTK,"$164,849,977.20",2017-12-31,119
RRevain,R,"$163,993,123.54",2017-12-31,120
XBYXTRABYTES,XBY,"$160,087,167.02",2017-12-31,121
BNTBancor,BNT,"$158,077,266.20",2017-12-31,122
TNBTime New Bank,TNB,"$155,962,965.05",2017-12-31,123
MTLMetal,MTL,"$155,718,299.71",2017-12-31,124
CLOAKCloakCoin,CLOAK,"$155,289,014.22",2017-12-31,125
SNGLSSingularDTV,SNGLS,"$152,301,961.18",2017-12-31,126
STORMStorm,STORM,"$148,785,156.13",2017-12-31,127
XDNDigitalNote,XDN,"$148,070,295.40",2017-12-31,128
RISERise,RISE,"$142,327,591.38",2017-12-31,129
CTRCentra,CTR,"$142,291,732.79",2017-12-31,130
PPPPayPie,PPP,"$140,891,742.11",2017-12-31,131
ITCIoT Chain,ITC,"$134,195,117.44",2017-12-31,132
THCHempCoin,THC,"$133,870,599.48",2017-12-31,133
SNMSONM,SNM,"$133,225,090.61",2017-12-31,134
MEDMediBloc,MED,"$132,036,119.51",2017-12-31,135
DCTDECENT,DCT,"$131,718,175.39",2017-12-31,136
RHOCRChain,RHOC,"$131,699,938.71",2017-12-31,137
DATAStreamr DATAcoin,DATA,"$131,453,848.80",2017-12-31,138
LRCLoopring,LRC,"$131,234,074.77",2017-12-31,139
ENJEnjin Coin,ENJ,"$130,592,897.91",2017-12-31,140
MGOMobileGo,MGO,"$127,916,719.28",2017-12-31,141
UNITYSuperNET,UNITY,"$126,706,012.48",2017-12-31,142
AGRSAgoras Tokens,AGRS,"$126,437,403.20",2017-12-31,143
ANTAragon,ANT,"$125,429,617.66",2017-12-31,144
CNDCindicator,CND,"$125,422,116.28",2017-12-31,145
QRLQuantum Resistant Ledger,QRL,"$123,951,216.70",2017-12-31,146
RVRRevolutionVR,RVR,"$123,587,383.03",2017-12-31,147
MODModum,MOD,"$121,933,934.88",2017-12-31,148
VEEBLOCKv,VEE,"$121,250,078.37",2017-12-31,149
SHIFTShift,SHIFT,"$119,466,200.84",2017-12-31,150
EMCEmercoin,EMC,"$117,844,132.41",2017-12-31,151
XASAsch,XAS,"$115,218,024.44",2017-12-31,152
WABITael,WABI,"$114,338,119.55",2017-12-31,153
WINGSWings,WINGS,"$113,723,645.56",2017-12-31,154
ACTAchain,ACT,"$113,480,266.93",2017-12-31,155
JINNJinn,JINN,"$113,375,048.72",2017-12-31,156
PPCPeercoin,PPC,"$109,857,992.79",2017-12-31,157
RLCiExec RLC,RLC,"$108,342,511.69",2017-12-31,158
NEBLNeblio,NEBL,"$105,883,065.12",2017-12-31,159
GRSGroestlcoin,GRS,"$104,497,342.43",2017-12-31,160
VIAViacoin,VIA,"$103,956,672.82",2017-12-31,161
ETPMetaverse ETP,ETP,"$102,325,339.90",2017-12-31,162
BRDBread,BRD,"$100,425,861.91",2017-12-31,163
CDTBlox,CDT,"$100,411,079.78",2017-12-31,164
CMTCyberMiles,CMT,"$100,381,951.35",2017-12-31,165
NLGGulden,NLG,"$96,338,088.11",2017-12-31,166
LBCLBRY Credits,LBC,"$95,927,562.06",2017-12-31,167
WGRWagerr,WGR,"$94,536,318.90",2017-12-31,168
NULSNULS,NULS,"$93,574,438.10",2017-12-31,169
ATMATMChain,ATM,"$92,663,350.89",2017-12-31,170
DPYDelphy,DPY,"$92,355,626.72",2017-12-31,171
AMBAmbrosus,AMB,"$91,947,093.17",2017-12-31,172
BURSTBurst,BURST,"$91,806,812.76",2017-12-31,173
POTPotCoin,POT,"$89,581,131.52",2017-12-31,174
TNTTierion,TNT,"$88,676,443.61",2017-12-31,175
DNTdistrict0x,DNT,"$86,661,887.17",2017-12-31,176
PURAPura,PURA,"$86,460,488.36",2017-12-31,177
CFICofound.it,CFI,"$86,034,046.11",2017-12-31,178
