,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,1,1,1,2019-01-10,2019-03-01,CRYPTO:MANAUSD,CRYPTO:TRXUSD,0.10547083550198688,0.09245630420892048,1,-1,1.036699504024662,0.20022681699811484
1,1,2,1,2019-01-19,2019-03-01,CRYPTO:REPUSD,CRYPTO:BNTUSD,0.27138721759469187,-0.08365164180889395,-1,1,10.220252492401023,0.3650747176120186
2,1,3,1,2019-01-19,2019-03-01,CRYPTO:BNTUSD,CRYPTO:REPUSD,-0.08365164180889395,0.27138721759469187,1,-1,0.0930573013461384,0.3583074083191365
3,1,4,1,2019-01-28,2019-03-01,CRYPTO:XLMUSD,CRYPTO:ADAUSD,-0.03193109785572401,-0.11223242385621757,1,-1,0.5940847740771621,-0.0966623055299188
4,1,5,1,2019-01-01,2019-03-01,CRYPTO:WAVESUSD,CRYPTO:STEEMUSD,0.14816644986375704,0.43195743296326916,-1,1,1.5575604582047065,0.36460572416103215
5,1,6,1,2019-01-13,2019-03-01,CRYPTO:MANAUSD,CRYPTO:WAVESUSD,0.19882398449581595,-0.008942953991571745,1,-1,0.0100539353904199,0.22017250921291662
6,2,1,1,2019-03-09,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,0.014555327235608262,-0.780011150331011,1,-1,0.3283112514902869,-0.9020509987271734
7,2,2,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.30076751465054996,-0.1914232673554881,-1,1,2.602546494613589,-0.5236087800201182
8,2,3,1,2019-03-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:WTCUSD,-0.20464357610767991,0.7662246990004307,-1,1,9.000009018104542,-0.11357285817974343
9,2,4,1,2019-04-02,2019-04-29,CRYPTO:ADAUSD,CRYPTO:STEEMUSD,0.25854169089429,-0.3181525839289,-1,1,0.0820889738740803,0.15216398765370226
10,2,5,1,2019-04-02,2019-04-29,CRYPTO:STEEMUSD,CRYPTO:ADAUSD,-0.3181525839289,0.25854169089429,1,-1,11.825892586167614,0.1447249103348493
11,2,6,1,2019-04-04,2019-04-29,CRYPTO:ELFUSD,CRYPTO:IOSTUSD,-0.3133985245906986,0.3433781473431926,1,-1,26.21000268217565,0.23674373681248861
12,2,7,1,2019-04-04,2019-04-29,CRYPTO:IOSTUSD,CRYPTO:ELFUSD,0.3433781473431926,-0.3133985245906986,-1,1,0.036117680291592,0.2528224384822801
13,2,8,1,2019-03-01,2019-04-29,CRYPTO:ENJUSD,CRYPTO:KMDUSD,-0.8757843883293897,-0.08885423636436895,-1,1,0.0383135912142791,-1.2264459798509397
14,2,9,1,2019-03-01,2019-04-29,CRYPTO:KMDUSD,CRYPTO:ENJUSD,-0.08885423636436895,-0.8757843883293897,1,-1,24.77583276789081,-1.208066712093806
15,2,10,1,2019-03-06,2019-04-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,0.0688328168293264,-0.20464357610767991,1,-1,0.5589917906093231,-0.289228662779699
16,2,11,1,2019-03-02,2019-04-29,CRYPTO:LSKUSD,CRYPTO:LTCUSD,0.3550358093909731,-0.3767316938532661,1,-1,0.0904110564550951,-0.4340844017423446
17,2,12,1,2019-03-01,2019-04-29,CRYPTO:THETAUSD,CRYPTO:XTZUSD,0.3651508885015744,1.7510474892866057,-1,1,0.0338206019442597,0.9819698853247253
18,2,13,1,2019-03-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:NEOUSD,-0.20464357610767991,0.0688328168293264,-1,1,1.7436855593671945,-0.29161208172169045
19,2,14,1,2019-03-05,2019-04-29,CRYPTO:LTCUSD,CRYPTO:LSKUSD,-0.27077214738472977,0.30903141514414645,-1,1,10.82866536768911,-0.3014444772978552
20,2,15,1,2019-03-25,2019-04-29,CRYPTO:POWRUSD,CRYPTO:KCSUSD,-0.013309241085408763,0.16471810301597534,1,-1,0.1110152912740854,0.1840643240487475
21,3,1,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.008464817363374344,-0.004793989645240915,1,-1,4.698610334839314,-0.011545232271913074
22,3,2,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.004793989645240915,-0.008464817363374344,-1,1,0.2089368060626857,-0.011518852922007935
23,3,3,1,2019-06-19,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:LOOMUSD,0.05514756976045054,-0.19322078125724096,-1,1,0.603269908921237,-0.029214657646964824
24,3,4,1,2019-05-24,2019-06-29,CRYPTO:ELFUSD,CRYPTO:STEEMUSD,0.2182309132966439,-0.021290434302182915,-1,1,0.4510564480433049,0.24129634684681675
25,3,5,1,2019-06-19,2019-06-29,CRYPTO:LOOMUSD,CRYPTO:ARDRUSD,-0.19322078125724096,0.05514756976045054,1,-1,1.5660569246883351,-0.03498659711107805
26,3,6,1,2019-05-24,2019-06-29,CRYPTO:STEEMUSD,CRYPTO:ELFUSD,-0.021290434302182915,0.2182309132966439,1,-1,2.18201573324604,0.23945319393800546
27,3,7,1,2019-06-26,2019-06-29,CRYPTO:QTUMUSD,CRYPTO:LOOMUSD,-0.07900050903795686,-0.02155889279359191,-1,1,35.25727120277832,-0.12202334304785745
28,3,8,1,2019-06-25,2019-06-29,CRYPTO:LOOMUSD,CRYPTO:QTUMUSD,-0.10164181113671522,-0.059108945196307605,1,-1,0.0266702101893985,-0.14725989159760206
29,3,9,1,2019-05-28,2019-06-29,CRYPTO:KMDUSD,CRYPTO:LOOMUSD,0.04554908685358139,-0.17281168429163207,-1,1,5.479431009533183,-0.011253718961849707
30,3,10,1,2019-06-16,2019-06-29,CRYPTO:BTMUSD,CRYPTO:WTCUSD,0.09905660377358494,-0.19409402442664503,-1,1,0.0531334921837847,-0.0029911021390700036
31,3,11,1,2019-06-16,2019-06-29,CRYPTO:WTCUSD,CRYPTO:BTMUSD,-0.19409402442664503,0.09905660377358494,1,-1,18.38944245482072,-0.006063610752045725
32,3,12,1,2019-06-25,2019-06-29,CRYPTO:NEOUSD,CRYPTO:ZILUSD,0.05750219338272877,-0.12043999205838385,-1,1,450.92679550441005,0.00207950701148749
33,3,13,1,2019-06-25,2019-06-29,CRYPTO:QTUMUSD,CRYPTO:ZILUSD,-0.059108945196307605,-0.12043999205838385,-1,1,116.74156215275482,-0.15608633173780806
34,3,14,1,2019-05-15,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:STEEMUSD,-0.3255785813224137,-0.051270561883727916,-1,1,0.0949535206174659,-0.48708180608698115
35,3,15,1,2019-06-25,2019-06-29,CRYPTO:ZILUSD,CRYPTO:NEOUSD,-0.12043999205838385,0.05750219338272877,1,-1,0.0020871670589086,-0.0026465199084916738
36,3,16,1,2019-05-27,2019-06-29,CRYPTO:EOSUSD,CRYPTO:LOOMUSD,0.21274757209187878,-0.14598342225443928,-1,1,27.01210754233537,0.27856781967128225
37,3,17,1,2019-05-15,2019-06-29,CRYPTO:STEEMUSD,CRYPTO:ARDRUSD,-0.051270561883727916,-0.3255785813224137,1,-1,10.329814722202771,-0.4848497631635998
38,3,18,1,2019-06-25,2019-06-29,CRYPTO:ZILUSD,CRYPTO:QTUMUSD,-0.12043999205838385,-0.059108945196307605,1,-1,0.0079854687146619,-0.15794741039857912
