,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
33,3,16,1,2019-06-22,2019-06-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,0.26691092398599037,-0.057356804566399244,1,-1,0.2158093083936927,0.12813246374245701
34,3,17,1,2019-06-02,2019-06-26,CRYPTO:KMDUSD,CRYPTO:NEOUSD,0.2201835125820334,0.35404128170006266,-1,1,0.0394814343120071,0.509747772595134
35,3,18,1,2019-05-29,2019-06-29,CRYPTO:KMDUSD,CRYPTO:AEUSD,0.10233828974668235,-0.07742998352553543,-1,1,0.6412975215268744,0.13667598290584515
36,3,19,1,2019-06-26,2019-06-29,CRYPTO:NULSUSD,CRYPTO:ETHUSD,-0.029846604668902876,0.03950855584662283,1,-1,0.0081913606193336,0.04453454666491968
37,3,20,1,2019-05-31,2019-06-29,CRYPTO:ADAUSD,CRYPTO:EOSUSD,0.003564542886607125,0.2618024398555687,1,-1,0.0188642661723466,0.33967433536071745
38,3,21,1,2019-06-22,2019-06-29,CRYPTO:BTGUSD,CRYPTO:BTCUSD,-0.05714285714285716,-0.11264789619681426,1,-1,0.0067338353089554,-0.1927841606413915
39,3,22,1,2019-05-27,2019-06-29,CRYPTO:LSKUSD,CRYPTO:EOSUSD,-0.07899822126782974,0.21274757209187878,1,-1,0.7706839298537992,0.27943537658036854
40,3,23,1,2019-06-19,2019-06-29,CRYPTO:LSKUSD,CRYPTO:ARDRUSD,-0.08085369974254164,0.05514756976045054,1,-1,36.02625116112427,0.024707758750503912
41,3,24,1,2019-06-26,2019-06-29,CRYPTO:LSKUSD,CRYPTO:NEOUSD,-0.04938744684766827,0.0392477616232032,1,-1,0.1609830063145688,0.008734372359685095
42,3,25,1,2019-05-29,2019-06-29,CRYPTO:AEUSD,CRYPTO:KMDUSD,-0.07742998352553543,0.10233828974668235,1,-1,1.4484602421394897,0.1325153492795116
43,3,26,1,2019-06-25,2019-06-29,CRYPTO:ICXUSD,CRYPTO:QTUMUSD,-0.0012727208422562697,-0.059108945196307605,1,-1,0.2152336274780467,-0.09192646604461727
44,4,1,1,2019-07-05,2019-08-05,CRYPTO:EOSUSD,CRYPTO:KMDUSD,-0.2255635381994504,0.40798996191690584,1,-1,5.386139654364242,0.32276343401962154
45,4,2,1,2019-08-08,2019-08-29,CRYPTO:XTZUSD,CRYPTO:ADAUSD,0.36999746707193515,-0.14227025781804925,-1,1,14.807574935615586,0.40378873138290466
46,4,3,1,2019-07-09,2019-08-29,CRYPTO:DCRUSD,CRYPTO:XVGUSD,0.32661826025725726,-0.3653010981715582,-1,1,2653.7021632737565,0.14939441705176265
47,4,4,1,2019-07-02,2019-08-29,CRYPTO:MIOTAUSD,CRYPTO:NEOUSD,-0.37120359885551013,0.5114359033586275,1,-1,0.0276300073916003,0.23595141622743623
48,4,5,1,2019-07-02,2019-08-29,CRYPTO:NEOUSD,CRYPTO:MIOTAUSD,0.5114359033586275,-0.37120359885551013,-1,1,34.82757112883818,0.2526808405153101
49,4,6,1,2019-07-02,2019-08-29,CRYPTO:NEOUSD,CRYPTO:OMGUSD,0.5114359033586275,-0.5530145527791789,-1,1,4.475179148500979,0.22843581743759012
50,4,7,1,2019-07-01,2019-08-29,CRYPTO:NEOUSD,CRYPTO:ICXUSD,0.4799231576749654,-0.31672310817779814,-1,1,21.94743572451311,0.5002341531857833
51,4,8,1,2019-07-02,2019-08-29,CRYPTO:ONTUSD,CRYPTO:QTUMUSD,-0.4883618157140597,0.5990141188090486,1,-1,0.4880752483301688,0.430538335458082
52,4,9,1,2019-07-02,2019-08-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,-0.5530145527791789,0.5114359033586275,1,-1,0.2171438158290571,0.2141181770160052
53,4,10,1,2019-07-09,2019-08-29,CRYPTO:XVGUSD,CRYPTO:DCRUSD,-0.3653010981715582,0.32661826025725726,1,-1,0.0003576373289157,0.13252795450874094
54,4,11,1,2019-07-05,2019-08-01,CRYPTO:KMDUSD,CRYPTO:EOSUSD,0.3980667390217284,-0.25009087955406895,-1,1,0.1607246799512234,0.3352239506933038
55,4,12,1,2019-08-08,2019-08-29,CRYPTO:ADAUSD,CRYPTO:XTZUSD,-0.14227025781804925,0.36999746707193515,1,-1,0.0537994549812006,0.3505848791744652
56,4,13,1,2019-07-11,2019-08-08,CRYPTO:BTGUSD,CRYPTO:XRPUSD,0.44639175257731967,-0.06333546481532226,-1,1,67.37306125155857,0.45245161662365546
57,4,14,1,2019-07-01,2019-08-29,CRYPTO:ICXUSD,CRYPTO:NEOUSD,-0.31672310817779814,0.4799231576749654,1,-1,0.0430119988724482,0.4811616015017823
58,5,1,1,2019-10-27,2019-10-30,CRYPTO:LSKUSD,CRYPTO:BTMUSD,-0.0031718161833168557,0.27030539311241075,1,-1,15.011420477372488,0.40089946927300646
59,6,1,1,2019-12-08,2019-12-30,CRYPTO:XTZUSD,CRYPTO:LTCUSD,0.1746259351620948,-0.07432109061610381,-1,1,0.0094542166482275,0.24374001882133056
60,6,2,1,2019-11-02,2019-12-12,CRYPTO:BTMUSD,CRYPTO:QTUMUSD,0.4579710144927537,-0.16710705758873956,-1,1,0.0410784723989825,0.42389438847136224
61,6,3,1,2019-11-02,2019-11-27,CRYPTO:BTMUSD,CRYPTO:ARDRUSD,0.4623188405797102,-0.06613270454702969,-1,1,1.7333989312657294,0.4889465287016862
62,6,4,1,2019-11-03,2019-12-30,CRYPTO:QTUMUSD,CRYPTO:NEOUSD,-0.24177780489801237,0.19261652692542297,1,-1,0.2582127119222497,0.012978787269491705
63,6,5,1,2019-11-13,2019-12-30,CRYPTO:ARDRUSD,CRYPTO:NEOUSD,-0.30242883574919577,0.3216322222703004,1,-1,0.0058587080629501,0.12087260909348219
64,6,6,1,2019-11-03,2019-12-30,CRYPTO:NEOUSD,CRYPTO:QTUMUSD,0.19261652692542297,-0.24177780489801237,-1,1,3.575270477099203,0.029878645709682572
65,6,7,1,2019-11-13,2019-12-30,CRYPTO:NEOUSD,CRYPTO:ARDRUSD,0.3216322222703004,-0.30242883574919577,-1,1,139.35572367586204,0.18126722898305284
66,7,1,1,2020-02-10,2020-02-29,CRYPTO:BCDUSD,CRYPTO:XLMUSD,0.412807881773399,-0.19282199628479457,-1,1,9.776260331604457,0.33566897352284136
67,7,2,1,2020-01-15,2020-02-29,CRYPTO:XMRUSD,CRYPTO:ETCUSD,-0.03239994135757207,0.08016508254127064,1,-1,11.033325822846198,0.06216563288310925
68,7,3,1,2020-01-28,2020-02-14,CRYPTO:MIOTAUSD,CRYPTO:XRPUSD,-0.13045234745935175,0.4080949991637397,-1,1,1.1263787679950097,0.26056813145143576
69,7,4,1,2020-02-14,2020-02-29,CRYPTO:BTMUSD,CRYPTO:NEOUSD,-0.3634840871021776,0.3375982590658234,1,-1,0.011526462697532,0.13934586866862017
70,7,5,1,2020-01-15,2020-02-29,CRYPTO:ETCUSD,CRYPTO:XMRUSD,0.08016508254127064,-0.03239994135757207,-1,1,0.0727085152933995,0.0741486033632079
71,7,6,1,2020-02-12,2020-02-29,CRYPTO:ETHUSD,CRYPTO:KMDUSD,0.18409009921416386,-0.3367632167079845,-1,1,117.36483493526828,0.07806637805522101
72,7,7,1,2020-02-14,2020-02-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,0.3375982590658234,-0.30252166371990785,-1,1,0.0782011328208779,0.31667256848263114
73,7,8,1,2020-02-13,2020-02-29,CRYPTO:NEOUSD,CRYPTO:BTMUSD,0.26738392128648014,-0.34539190353143845,-1,1,71.21481998391074,0.10192425641111992
74,7,9,1,2020-01-14,2020-02-29,CRYPTO:OMGUSD,CRYPTO:DASHUSD,0.15659472692303433,0.04008464668720069,1,-1,0.0140164172118823,0.16663502365459568
75,7,10,1,2020-02-08,2020-02-29,CRYPTO:OMGUSD,CRYPTO:LSKUSD,-0.26422440598891594,0.2734184002804767,1,-1,1.0318193545441248,0.12855072368712944
76,7,11,1,2020-02-09,2020-02-29,CRYPTO:KMDUSD,CRYPTO:LSKUSD,-0.26675220982103987,0.37041152425511537,1,-1,0.5498042404493584,0.21169303321527325
77,7,12,1,2020-01-28,2020-02-13,CRYPTO:XRPUSD,CRYPTO:MIOTAUSD,0.36962702793109226,-0.12358678507324417,1,-1,0.8314025743010107,0.24658339387940906
78,7,13,1,2020-01-15,2020-02-29,CRYPTO:XRPUSD,CRYPTO:DASHUSD,-0.017972033971004553,0.35801650966446885,1,-1,0.0015159764680747,0.31280818795668025
79,7,14,1,2020-01-14,2020-02-29,CRYPTO:BNBUSD,CRYPTO:BCHUSD,0.15633098584073135,0.12101732403156107,1,-1,0.0817143933338201,0.26808526901889523
80,7,15,1,2020-02-08,2020-02-29,CRYPTO:LSKUSD,CRYPTO:OMGUSD,0.2734184002804767,-0.26422440598891594,-1,1,0.8623259386921276,0.15798613208959625
81,7,16,1,2020-02-02,2020-02-16,CRYPTO:LSKUSD,CRYPTO:ICXUSD,0.9065339322205557,-0.10299671108541042,1,-1,5.209327135943137,0.5471599125226017
82,7,16,2,2020-02-21,2020-02-29,CRYPTO:LSKUSD,CRYPTO:ICXUSD,-0.15026130872889054,0.30391071602599073,1,-1,5.209327135943137,0.23884087985147975
83,7,17,1,2020-01-14,2020-02-29,CRYPTO:BCHUSD,CRYPTO:BNBUSD,0.12101732403156107,0.15633098584073135,-1,1,10.828211942815289,0.2661074746257116
84,7,18,1,2020-02-02,2020-02-16,CRYPTO:ICXUSD,CRYPTO:LSKUSD,-0.10299671108541042,0.9065339322205557,-1,1,0.1779360371800614,0.5116871471359075
85,7,18,2,2020-02-21,2020-02-29,CRYPTO:ICXUSD,CRYPTO:LSKUSD,0.30391071602599073,-0.15026130872889054,-1,1,0.1779360371800614,0.2553406484376703
86,7,19,1,2020-02-08,2020-02-29,CRYPTO:DOGEUSD,CRYPTO:DCRUSD,0.2921120752143428,-0.176027475037128,-1,1,7.350166777068845e-05,0.28022272293764156
87,7,20,1,2020-02-10,2020-02-29,CRYPTO:XLMUSD,CRYPTO:BCDUSD,-0.19282199628479457,0.412807881773399,1,-1,0.0861635277994585,0.2849088271710421
88,7,21,1,2020-02-08,2020-02-29,CRYPTO:XLMUSD,CRYPTO:LSKUSD,-0.19832406168579675,0.2734184002804767,1,-1,0.0491828059718343,0.12171207001073833
89,7,22,1,2020-02-02,2020-02-29,CRYPTO:XLMUSD,CRYPTO:ICXUSD,-0.10184922212755221,0.07368556443874497,1,-1,0.2664162088451947,-0.0030325752564224675
90,8,1,1,2020-03-18,2020-04-29,CRYPTO:ADAUSD,CRYPTO:LSKUSD,0.9716208980341161,-0.21541986247703093,1,-1,0.0331813514265204,0.580240999086168
91,8,2,1,2020-03-18,2020-04-29,CRYPTO:LSKUSD,CRYPTO:ADAUSD,-0.21541986247703093,0.9716208980341161,-1,1,26.540211606933465,0.507244449991296
92,8,3,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:TRXUSD,0.46473308263239277,-0.8465747178844181,1,-1,12599.933373710055,0.10350215535867086
93,8,4,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:SCUSD,0.46473308263239277,-1.0760215882806476,1,-1,118037.67426258026,-0.020538638347252974
94,8,5,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:ONTUSD,0.46473308263239277,-0.679994564332635,1,-1,267.44346637234,0.3450916698038537
95,8,6,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:ADAUSD,0.46473308263239277,-1.2106436811184014,1,-1,4136.083172676332,-0.029814234107246963
96,8,7,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:ZRXUSD,0.46473308263239277,-0.36479409360310644,1,-1,1369.4045105918294,0.14741135232902222
97,8,8,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:ICXUSD,0.46473308263239277,-0.8076848996312425,1,-1,739.6354195656324,0.07047123172294398
98,8,9,1,2020-03-12,2020-04-29,CRYPTO:MKRUSD,CRYPTO:XLMUSD,0.46473308263239277,-1.163166397415186,1,-1,3119.196031341855,-0.055297224466789106
99,9,1,1,2020-06-28,2020-06-29,CRYPTO:BCDUSD,CRYPTO:DASHUSD,-0.025675675675675746,0.01821948539038276,-1,1,0.0073280367556417,-0.01624057167523759
100,9,2,1,2020-06-03,2020-06-29,CRYPTO:EOSUSD,CRYPTO:XLMUSD,-0.1169482617546318,0.20918317519792107,1,-1,51.31901875591296,0.1649915536588643
101,9,3,1,2020-06-03,2020-06-29,CRYPTO:MIOTAUSD,CRYPTO:XRPUSD,0.14816222648843702,-0.13167434113843435,-1,1,1.1170744843466915,0.03035359348948251
